N00030693,Suzan_DelBene
N00030709,Mark_Desaulnier
N00030717,Ami_Bera
N00030736,John_Carney
N00030744,Mike_Pompeo
N00030752,Jeff_Duncan
N00030768,Martha_Roby
N00030770,Rick_Crawford
N00030771,Paul_Gosar
N00030780,Cory_Gardner
N00030788,Tom_Graves
N00030801,Frank_Guinta
N00030815,Chuck_Fleischmann
N00030829,Kenneth_R_Buck
N00030836,Rand_Paul
N00030856,John_Garamendi
N00030875,Ann_Mclane_Kuster
N00030880,Trey_Gowdy
N00030910,Mo_Brooks
N00030949,Tom_Reed
N00030957,Scott_Desjarlais
N00030962,Scott_Rigell
N00030967,Sean_P_Duffy
N00030968,Reid_Ribble
N00030980,Kelly_Ayotte
N00031005,Vicky_Hartzler
N00031006,Alan_Nunnelee
N00031011,Bill_Owens
N00031064,Ryan_Costello
N00031103,Bob_Dold
N00031104,Randy_Hultgren
N00031127,Jim_Renacci
N00031128,Bob_Gibbs
N00031129,James_Lankford
N00031134,Patrick_Meehan
N00031141,Steve_Fincher
N00031177,Mark_Amodei
N00031204,Steve_Southerland
N00031226,Jackie_Walorski
N00031227,Larry_Bucshon
N00031233,Andy_Barr
N00031244,Joe_Heck
N00031253,Keith_J_Rothfus
N00031263,Scott_W_Taylor
N00031265,Robert_Hurt
N00031297,Tim_Griffin
N00031317,Ted_Deutch
N00031377,Raul_Labrador
N00031401,Michael_Grimm
N00031412,Mick_Mulvaney
N00031417,Will_Hurd
N00031502,Kevin_Yoder
N00031513,Renee_Ellmers
N00031539,Diane_Black
N00031545,Bill_Flores
N00031557,Dennis_Heck
N00031559,Jaime_Herrera_Beutler
N00031593,Jeff_Denham
N00031647,Mike_Kelly
N00031672,Blake_Farenthold
N00031681,David_McKinley
N00031685,Richard_Blumenthal
N00031688,John_Hoeven
N00031696,Mike_Lee
N00031741,Todd_Rokita
N00031777,Tom_Marino
N00031782,Tim_Scott
N00031820,Chris_Coons
N00031857,Steve_Womack
N00031877,Karen_Bass
N00031933,Bill_Keating
N00031934,Dan_Benishek
N00031938,Justin_Amash
N00031958,Steven_Palazzo
N00031988,Jon_Runyan
N00031998,Chris_Gibson
N00032019,David_Cicilline
N00032022,Kristi_Noem
N00032029,Morgan_Griffith
N00032088,Bill_Johnson
N00032243,Jody_B_Hice
N00032416,Rob_Woodall
N00032441,Richard_Nugent
N00032457,Austin_Scott
N00032546,Ron_Johnson
N00032838,Joe_Manchin
N00033030,Jared_Huffman
N00033054,Steven_Daines
N00033085,Ted_Cruz
N00033091,Patrick_Murphy
N00033101,Brad_Schneider
N00033106,Ann_L_Wagner
N00033177,Tim_Kaine
N00033217,Elizabeth_Esty
N00033220,Ted_Yoho
N00033240,Raja_Krishnamoorthi
N00033274,Alan_Lowenthal
N00033281,Tulsi_Gabbard
N00033310,Brad_Wenstrup
N00033316,Joaquin_Castro
N00033363,Tom_Cotton
N00033367,David_Valadao
N00033373,Tony_Cardenas
N00033390,Cheri_Bustos
N00033395,Dan_Kildee
N00033399,George_Holding
N00033410,Markwayne_Mullin
N00033443,Deb_Fischer
N00033449,Val_Demings
N00033474,Suzanne_Bonamici
N00033492,Elizabeth_Warren
N00033495,Susan_Brooks
N00033508,Eric_Swalwell
N00033509,Gloria_McLeod
N00033510,Raul_Ruiz
N00033518,Doug_Collins
N00033527,David_Rouzer
N00033530,Ruben_Kihuen
N00033539,Randy_Weber
N00033540,Beto_O'Rourke
N00033541,Pete_Gallego
N00033549,Mark_Pocan
N00033591,Scott_Peters
N00033625,Kerry_Bentivolio
N00033630,Richard_Hudson
N00033631,Mark_R_Meadows
N00033638,Steven_Horsford
N00033640,Hakeem_Jeffries
N00033720,Richard_W_Allen
N00033744,Rod_Blum
N00033782,Heidi_Heitkamp
N00033814,Alex_Mooney
N00033832,Tom_Rice
N00033839,Marc_Veasey
N00033842,Mia_Love
N00033897,John_K_Delaney
N00033904,Joyce_Beatty
N00033932,Chris_Stewart
N00033981,Ron_Barber
N00033982,Martha_McSally
N00033983,Kyrsten_Sinema
N00033987,Doug_LaMalfa
N00033997,Pete_Aguilar
N00034017,Trey_Radel
N00034041,Thomas_Massie
N00034044,Joe_Kennedy_III
N00034068,Brenda_Lawrence
N00034120,Scott_Perry
N00034128,Matt_Cartwright
N00034224,Paul_Cook
N00034254,Julia_Brownley
N00034277,Sean_Patrick_Maloney
N00034349,Filemon_Vela
N00034416,Robert_Pittenger
N00034453,Derek_Kilmer
N00034547,Grace_Meng
N00034549,Adriano_Espaillat
N00034580,Angus_King
N00034584,Bruce_Poliquin
N00034639,Donald_M_Payne_Jr
N00034746,Ron_DeSantis
N00034784,Rodney_Davis
N00034884,William_Enyart
N00035000,Stacey_Plaskett
N00035007,David_P_Joyce
N00035215,Robin_Kelly
N00035267,Cory_Booker
N00035278,Katherine_Clark
N00035282,Jason_Smith
N00035307,Brendan_Boyle
N00035311,Mark_Walker
N00035346,Buddy_Carter
N00035347,Barry_Loudermilk
N00035380,Bradley_Byrne
N00035391,Mimi_Walters
N00035403,Carlos_Curbelo
N00035420,Mike_Bost
N00035431,Seth_Moulton
N00035440,Tom_Emmer
N00035451,Alma_Adams
N00035477,Karen_Handel
N00035483,Joni_Ernst
N00035492,Thom_Tillis
N00035504,Liz_Cheney
N00035509,David_Young
N00035516,David_Perdue
N00035523,Elise_Stefanik
N00035527,Bruce_Westerman
N00035531,Evan_Jenkins
N00035535,Mark_Takai
N00035544,Ben_Sasse
N00035593,Vance_McAllister
N00035607,Dave_Trott
N00035616,Ryan_K_Zinke
N00035628,Cresent_Hardy
N00035686,John_Walsh
N00035688,Gwen_Graham
N00035691,Gary_Palmer
N00035717,David_Jolly
N00035774,Dan_Sullivan
N00035792,French_Hill
N00035820,Steve_Knight
N00035825,Ted_Lieu
N00035854,Curt_Clawson
N00035927,Kathleen_Rice
N00035934,John_Katko
N00035972,John_Lee_Ratcliffe
N00036013,Dave_Brat
N00036018,Don_Beyer
N00036023,Barbara_Comstock
N00036097,Ruben_Gallego
N00036107,Norma_Torres
N00036135,Garret_Graves
N00036149,Debbie_Dingell
N00036154,Don_Norcross
N00036155,Thomas_MacArthur
N00036158,Bonnie_Coleman
N00036175,Steven_Russell
N00036274,Paul_Mitchell
N00036275,John_Moolenaar
N00036351,Claudia_Tenney
N00036403,Daniel_Milton_Newhouse
N00036409,Glenn_S_Grothman
N00036449,Mike_Bishop
N00036633,Ralph_Abraham
N00036915,Kamala_D_Harris
N00036928,Dan_Donovan
N00036944,Josh_Gottheimer
N00036999,Anthony_Brown
N00037003,Trent_Kelly
N00037015,Salud_Carbajal
N00037019,Nanette_Barragan
N00037031,Darin_LaHood
N00037034,Roger_Marshall
N00037036,Jamie_Raskin
N00037049,Don_Bacon
N00037161,Catherine_Cortez_Masto
N00037185,Jim_Banks
N00037260,Lou_Correa
N00037269,Brian_Mast
N00037288,John_Faso
N00037422,Darren_Soto
N00037442,Neal_Dunn
N00037515,Tom_O'Halleran
N00037615,Jenniffer_Gonzalez
N00038260,James_Comer
N00038285,Jodey_Arrington
N00038397,Maggie_Hassan
N00038400,Jason_Lewis
N00038414,Lisa_Blunt_Rochester
N00038429,Trey_Hollingsworth
N00038450,Dwight_Evans
N00038601,Jimmy_Panetta
N00038734,Jacky_Rosen
N00038742,Tom_Suozzi
N00038767,Warren_Davidson
N00038779,Brian_Fitzpatrick
N00038781,Lloyd_Smucker
N00038809,Vicente_Gonzalez
N00038847,Tom_Garrett
N00038858,Pramila_Jayapal
N00039090,Drew_Ferguson
N00039106,Mike_Johnson
N00039293,Andy_Biggs
N00039327,Donald_McEachin
N00039330,Mike_Gallagher
N00039503,Matt_Gaetz
N00039533,John_Bergman
N00039551,Ted_Budd
N00039777,John_Rutherford
N00039953,Clay_Higgins
N00040007,Francis_Rooney
N00040133,Stephanie_Murphy
N00040597,Jimmy_Gomez
N00040607,Luther_Strange
N00040712,Ron_Estes
N00040733,Greg_Gianforte
N00041221,John_Curtis
